code,name,description,secuencia,tipoLocalizacion,centroLogistico,ubicacionArea,paisOrigen
WH0101,ALMACEN DE DEPOSITO FISCAL Y GENERAL LAS AMERICAS S A,,101,Almacén,ADMINISTRACION SANTO DOMINGO,ADMINISTRACION SANTO DOMINGO,DO
WH0103,ALMACEN INVERSIONES TUNC,,103,Almacén,,Z.F.COMERCIAL LICEY,DO
WH0104,ALMACEN LENDAR BUSSINES CORPORATION,,104,Almacén,,Z.F. COMERCIALES PTO. PTA.,DO
WH0107,"ALMACEN NATACHA SANCHEZ VDA, TAPIA",,107,Almacén,,Z.F. COMERCIALES PTO. PTA.,DO
WH0108,ALMACEN REALSON ENTERPRISES LIMITED,,108,Almacén,,Z.F. COMERCIAL PUNTA CANA,DO
WH0105,ALMACEN MARAIS GROUP,,105,Almacén,,Z.F. COMERCIAL PUNTA CANA,DO
WH0106,ALMACEN NASTIN DOMINICANA,,106,Almacén,,,
WH0111,ALMACENES REYNOSO CARRASCO & ASOCIADOS SRL,,111,Almacén,,ADMINISTRACION DAJABON,DO
WH0115,ALMADELA SANTIAGO,,115,Almacén,,AERPUERTO INTERNACIONAL LICEY,DO
WH0119,ALMANORTE (ALMACENES ADUANALES DEL NORTE),,119,Almacén,,AERPUERTO INTERNACIONAL LICEY,DO
WH0120,ALMANORTE DEPOSITOS ADUANALES SRL,,120,Almacén,AERPUERTO INTERNACIONAL LICEY,AERPUERTO INTERNACIONAL LICEY,DO
WH0112,ALMACENES Y FRIGORIFICOS DOMINICANOS S A,,112,Almacén,ZONA FRANCA MULTIMODAL CAUCEDO S A,ADMINISTRACION PUERTO MULTIMODAL CAUCEDO,DO
WH0113,ALMACENES Y FRIGORIFICOS DOMINICANOS S A,,113,Almacén,,ADMINISTRACION PUERTO MULTIMODAL CAUCEDO,DO
WH0114,ALMADECA (ALMACENES EMPRESARIALES DE DEPOSITO),,114,Almacén,,ADMINISTRACION HAINA ORIENTAL,DO
WH0118,ALMADOM (ALMACENES DOMINICANOS DE DEPOSITOS),,118,Almacén,,ADMINISTRACION HAINA ORIENTAL,DO
WH0116,ALMADELA SANTO DOMINGO,,116,Almacén,,ADMINISTRACION SANTO DOMINGO,DO
WH0117,"ALMADINA SRL, Almacen",,117,Almacén,,,
WH0122,ALMATRANS (ALMACENES DE DEPOSITO C. x A.),,122,Almacén,,ADMINISTRACION HAINA ORIENTAL,DO
WH0123,ALMATRANS SAS,,123,Almacén,DIRECCION GENERAL DE ADUANAS,ADMINISTRACION HAINA ORIENTAL,DO
WH0121,ALMASANCA (ALMACEN GENERAL DE DEPOSITO SAN ANTONI),,121,Almacén,,ADMINISTRACION HAINA OCCIDENTAL,DO
WH0127,ALPLAST S A,,127,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0129,ALTAGRACIA PROJECT LIMITED,,129,Almacén,,"Z.F. IND., VILLA ALTAGRACIA",DO
WH0130,ALTEX CARIBE S A,,130,Almacén,,"Z.F. IND., SAN ISIDRO",DO
WH0126,ALPHA PLASTICS INC,,126,Almacén,,"Z.F. IND., SAN ISIDRO",DO
WH0128,ALSACKCO SRL,,128,Almacén,,"Z.F. IND., GURABO",DO
WH0124,ALORICA CENTRAL LLC,,124,Almacén,,ZONAS FRANCAS ESPECIALES,DO
WH0125,ALORICA DOMINICANA SRL,,125,Almacén,,,
WH0134,ALUMINIO ROHMER C POR A,,134,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0138,AMBAR COAST LARIMAR,,138,Almacén,,"Z.F. IND., BAHIA DE MAIMON",DO
WH0139,AMBER CONCESSIONS SA,,139,Almacén,,"Z.F. IND., BAHIA DE MAIMON",DO
WH0136,ALUTECHOS SRL,,136,Almacén,,ZONA FRANCA INTERCONTINENTAL,DO
WH0137,ALZA INVESTMENTS LLC,,137,Almacén,,"Z.F. ESP., ALZA INVESTMENT",DO
WH0131,ALTON BUSINESS CORP S A,,131,Almacén,,"PARQUE CIBERNÉTICO DE SANTO DOMINGO, S. A.",DO
WH0135,ALUMINIUM IMPACT PRODUCTS AIP SAS,,135,Almacén,,ZONA FRANCA INDUSTRIAL TAMBORIL,DO
